date,year,home_team,away_team,home_team_clean,away_team_clean,home_score,away_score,match_result,tournament,city,country,neutral,is_world_cup,home_elo,away_elo,elo_diff,goal_diff,abs_goal_diff,total_goals,home_elo_last_5,away_elo_last_5,elo_last_5_diff,home_goal_difference_last_5,away_goal_difference_last_5,goal_difference_last_5_diff
2026-06-16,2026,Iraq,Norway,Iraq,Norway,1,4,away_win,FIFA World Cup,Foxborough,United States,True,True,1582.0,1922.0,-340.0,-3,3,5,1584.8,1911.6,-326.79999999999995,-0.2,0.8,-1.0
2026-06-16,2026,Argentina,Algeria,Argentina,Algeria,3,0,home_win,FIFA World Cup,Kansas City,United States,True,True,2113.0,1726.0,387.0,3,3,3,2112.2,1726.0,386.1999999999998,2.6,2.0,0.6000000000000001
2026-06-16,2026,Austria,Jordan,Austria,Jordan,3,1,home_win,FIFA World Cup,Santa Clara,United States,True,True,1818.0,1687.0,131.0,2,2,4,1832.8,1687.0,145.79999999999995,1.6,-1.2,2.8
2026-06-17,2026,Portugal,DR Congo,Portugal,Democratic Republic of Congo,1,1,draw,FIFA World Cup,Houston,United States,True,True,1976.0,1616.0,360.0,0,0,2,1989.0,1616.0,373.0,2.4,0.2,2.1999999999999997
2026-06-17,2026,Uzbekistan,Colombia,Uzbekistan,Colombia,1,3,away_win,FIFA World Cup,Mexico City,Mexico,True,True,1735.0,1998.0,-263.0,-2,2,4,1735.0,1994.6,-259.5999999999999,-0.2,0.8,-1.0
2026-06-17,2026,England,Croatia,England,Croatia,4,2,home_win,FIFA World Cup,Arlington,United States,True,True,2042.0,1933.0,109.0,2,2,6,2037.4,1929.8,107.60000000000014,1.0,-0.2,1.2
2026-06-17,2026,Ghana,Panama,Ghana,Panama,1,0,home_win,FIFA World Cup,Toronto,Canada,True,True,1509.0,1742.0,-233.0,1,1,1,1507.0,1742.0,-235.0,-1.6,-0.2,-1.4000000000000001
2026-06-18,2026,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,4,1,home_win,FIFA World Cup,Inglewood,United States,True,True,1897.0,1571.0,326.0,3,3,5,1897.0,1571.0,326.0,0.4,0.0,0.4
2026-06-18,2026,Canada,Qatar,Canada,Qatar,6,0,home_win,FIFA World Cup,Vancouver,Canada,False,True,1802.0,1427.0,375.0,6,6,6,1802.0,1463.8,338.20000000000005,0.4,-0.8,1.2000000000000002
2026-06-18,2026,Mexico,South Korea,Mexico,South Korea,1,0,home_win,FIFA World Cup,Zapopan,Mexico,False,True,1835.0,1784.0,51.0,1,1,1,1835.0,1784.0,51.0,1.8,0.4,1.4
2026-06-18,2026,Czech Republic,South Africa,Czechia,South Africa,1,1,draw,FIFA World Cup,Atlanta,United States,True,True,1731.0,1531.0,200.0,0,0,2,1731.0,1531.0,200.0,0.8,-0.4,1.2000000000000002
2026-06-19,2026,Scotland,Morocco,Scotland,Morocco,0,1,away_win,FIFA World Cup,Foxborough,United States,True,True,1790.0,1830.0,-40.0,-1,1,1,1790.0,1830.0,-40.0,1.2,2.0,-0.8
2026-06-19,2026,Brazil,Haiti,Brazil,Haiti,3,0,home_win,FIFA World Cup,Philadelphia,United States,True,True,1979.0,1542.0,437.0,3,3,3,1979.0,1542.0,437.0,1.2,0.2,1.0
2026-06-19,2026,United States,Australia,United States,Australia,2,0,home_win,FIFA World Cup,Seattle,United States,False,True,1747.0,1774.0,-27.0,2,2,2,1747.0,1774.0,-27.0,-0.4,1.2,-1.6
2026-06-19,2026,Turkey,Paraguay,Turkey,Paraguay,0,1,away_win,FIFA World Cup,Santa Clara,United States,True,True,1880.0,1833.0,47.0,-1,1,1,1880.0,1835.2,44.799999999999955,1.0,0.4,0.6
2026-06-20,2026,Germany,Ivory Coast,Germany,Ivory Coast,2,1,home_win,FIFA World Cup,Toronto,Canada,True,True,1910.0,1607.0,303.0,1,1,3,1910.0,1607.0,303.0,2.6,1.2,1.4000000000000001
2026-06-20,2026,Ecuador,Curaçao,Ecuador,Curaçao,0,0,draw,FIFA World Cup,Kansas City,United States,True,True,1933.0,1467.0,466.0,0,0,0,1933.0,1467.0,466.0,0.6,-2.2,2.8000000000000003
2026-06-20,2026,Netherlands,Sweden,Netherlands,Sweden,5,1,home_win,FIFA World Cup,Houston,United States,True,True,1959.0,1660.0,299.0,4,4,6,1959.0,1660.0,299.0,0.2,1.0,-0.8
2026-06-20,2026,Tunisia,Japan,Tunisia,Japan,0,4,away_win,FIFA World Cup,Guadalupe,Mexico,True,True,1641.0,1878.0,-237.0,-4,4,4,1641.0,1875.0,-234.0,-1.8,1.2,-3.0
2026-06-21,2026,Spain,Saudi Arabia,Spain,Saudi Arabia,4,0,home_win,FIFA World Cup,Atlanta,United States,True,True,2171.0,1612.0,559.0,4,4,4,2171.0,1612.0,559.0,1.0,0.2,0.8
2026-06-21,2026,Belgium,Iran,Belgium,Iran,0,0,draw,FIFA World Cup,Inglewood,United States,True,True,1849.0,1754.0,95.0,0,0,0,1849.0,1754.0,95.0,2.0,1.6,0.3999999999999999
2026-06-21,2026,Uruguay,Cape Verde,Uruguay,Cape Verde,2,2,draw,FIFA World Cup,Miami Gardens,United States,True,True,1890.0,1560.0,330.0,0,0,4,1896.8,1560.0,336.79999999999995,-0.8,-0.4,-0.4
2026-06-21,2026,New Zealand,Egypt,New Zealand,Egypt,1,3,away_win,FIFA World Cup,Vancouver,Canada,True,True,1586.0,1591.0,-5.0,-2,2,4,1586.0,1591.0,-5.0,-0.8,0.8,-1.6
2026-06-22,2026,France,Iraq,France,Iraq,3,0,home_win,FIFA World Cup,Philadelphia,United States,True,True,2062.0,1582.0,480.0,3,3,3,2062.0,1582.0,480.0,1.2,-0.6,1.7999999999999998
